0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
3354,3027,125,252,701,739,708,572,32,34,112,110,83,49,0,14,40,76,56,44,3,13,19,57,35,38,43,3,28,37,14,5,5,7,8,10,11,13,106,143,140,153,176,154,369,406,389,335,hand_press
2930,2660,75,175,572,609,521,436,67,93,150,164,125,113,49,79,98,45,34,26,42,65,54,34,21,22,55,47,61,74,42,36,23,41,41,38,24,9,246,269,214,196,174,151,221,244,233,201,hand_press
1893,1750,140,220,449,463,408,338,85,120,160,159,127,109,67,105,115,72,61,74,78,117,86,91,66,82,96,111,118,137,103,21,72,101,83,23,14,23,687,711,573,619,718,559,732,978,932,696,hand_press
1136,1050,84,132,269,278,245,203,51,72,107,111,76,79,57,100,106,79,58,73,60,106,83,92,64,77,104,124,118,157,123,76,72,113,110,13,15,24,954,1002,936,1215,1544,1624,1777,2140,2118,1320,hand_press
681,630,50,81,171,186,165,142,30,43,64,73,45,47,34,72,81,82,59,51,36,80,64,85,50,61,114,81,96,105,80,65,84,131,122,47,61,110,1233,1280,1316,1821,2564,2612,2704,2922,2909,2430,hand_press
409,378,30,79,122,132,120,111,18,25,38,53,27,28,29,53,62,49,35,35,21,93,80,108,74,102,68,65,100,118,87,55,50,106,112,80,86,129,1079,1118,1077,1364,1800,1822,2224,2390,2285,2116,hand_press
731,709,18,47,73,79,72,66,11,15,23,32,16,17,17,32,37,29,21,21,13,56,48,65,44,61,41,39,60,70,52,33,30,63,67,48,51,77,893,944,870,1046,1295,1294,1993,2102,1931,1610,hand_press
1769,1592,10,28,248,220,223,208,6,9,35,40,25,10,10,19,22,17,12,12,7,33,29,39,26,36,24,23,36,42,31,20,18,38,40,28,31,46,536,566,522,627,777,776,1470,1577,1412,1217,hand_press
2629,2385,296,351,644,647,627,403,12,56,113,128,99,20,6,11,13,11,7,7,4,20,17,23,16,22,14,14,21,25,18,12,10,23,24,17,18,27,321,339,313,376,466,465,1252,1329,1116,851,hand_press
3139,2843,353,441,791,823,735,376,7,37,112,136,108,68,3,6,29,39,29,35,2,12,10,20,9,13,8,8,13,15,11,7,6,13,14,10,11,16,192,203,188,226,279,279,751,797,669,511,hand_press
